state,county,cluster,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AK,aleutians east,16,0,0,3138,0,0,0,0.000921082,9.37E-05,2.890355466,0.293971615,0.655224579,0,0,0,0.655224579,0,Immigration
AK,aleutians west,17,6.333333333,0,5362,6.333333333,0.001181151,0,0.001468078,0.000134971,7.871832174,0.723714401,0,0,0,0,0,0,Immigration
AK,anchorage,8,260.3333333,42.66666667,293512,303,0.001032326,0.000145366,0.000567615,6.33E-05,303,42.66666667,106.2395729,95.61561562,12.47933607,11.23140246,118.718909,106.8470181,Immigration
AK,bethel,15,2,0,17001,2,0.00011764,0,0.000375164,4.98E-05,6.378165447,0.846284036,0,0,0,0,0,0,Immigration
AK,bristol bay,8,0,0,1057,0,0,0,0.000567615,6.33E-05,0.599968683,0.066948942,NA,NA,NA,NA,NA,NA,Immigration
AK,denali,21,1,0,1767,1,0.000565931,0,0.000242326,3.31E-05,1,0.058564232,0,0,0,0,0,0,Immigration
AK,dillingham,10,1,0,4847,1,0.000206313,0,0.000250045,3.97E-05,1.211966423,0.192375623,0,0,0,0,0,0,Immigration
AK,fairbanks north star,8,52.66666667,2.666666667,97640,55.33333333,0.000566708,2.73E-05,0.000567615,6.33E-05,55.42189427,6.184384755,11.37900108,10.25749185,1.75770842,1.584469467,13.1367095,11.84196131,Immigration
AK,haines,16,3.5,0,2602,3.5,0.001345119,0,0.000921082,9.37E-05,3.5,0.24375849,0,0,0,0,0,0,Immigration
AK,hoonah angoon,8,1,0,2055,1,0.000486618,0,0.000567615,6.33E-05,1.166448102,0.130160904,0,0,0,0,0,0,Immigration
AK,juneau,8,18,0,31275,18,0.00057554,0,0.000567615,6.33E-05,18,1.980915948,0.690640679,0.621576611,0,0,0.690640679,0.621576611,Immigration
AK,kenai peninsula,15,5.666666667,1,55398,6.666666667,0.000120341,1.81E-05,0.000375164,4.98E-05,20.78334271,2.757628553,2.095482164,5.879401735,0.220857119,0.619670143,2.316339283,6.499071877,Immigration
AK,ketchikan gateway,8,12.66666667,0,13539,12.66666667,0.000935569,0,0.000567615,6.33E-05,12.66666667,0.857541839,5.590284899,5.031256409,0.160900588,0.144810529,5.751185487,5.176066938,Immigration
AK,kodiak island,15,6,1,13579,7,0.000515502,7.36E-05,0.000375164,4.98E-05,7,1,0.682419281,0.614177353,0,0,0.682419281,0.614177353,Immigration
AK,lake and peninsula,15,3.666666667,1,1564,4.666666667,0.002983802,0.000639386,0.000375164,4.98E-05,4.666666667,1,0,0,0,0,0,0,Immigration
AK,matanuska susitna,15,21,2,88897,23,0.000258726,2.25E-05,0.000375164,4.98E-05,33.35096605,4.425158047,4.926944401,6.429848692,0.339315387,0.442819407,5.266259789,6.872668099,Immigration
AK,nome,8,1,0,9492,1,0.000105352,0,0.000567615,6.33E-05,5.387798242,0.601210366,0,0,0,0,0,0,Immigration
